"Region","Year","Turnout","Abstentions","Invalid votes","Blank votes","Unempl_rate_total","Unempl_rate_less25","Unempl_rate_16_19","Unempl_rate_20_24","GDPpc","GrowthGDPAnnual","PctUniversityGraduates","Region_code","four","eight","eleven","fifteen"
"Melilla",2015,0.533,0.467,0.0128,0.0107,33.9475,72.0925,84.145,69.96,17173,0.027,0.28,"ME",0,0,0,1
"Murcia",2004,0.771,0.229,0.0061,0.0142,10.7275,18.5575,27.72,15.9375,16841,0.031,0.372,"MU",1,0,0,0
"Murcia",2008,0.7958,0.2042,0.007,0.0074,12.43,23.33,33.085,19.9525,20354,0.022,0.417,"MU",0,1,0,0
"Murcia",2011,0.7552,0.2448,0.0093,0.0091,24.985,48.085,67.61,42.9525,18646,-0.03,0.445,"MU",0,0,1,0
"Murcia",2015,0.7296,0.2704,0.0087,0.0062,24.615,50.72,61.2775,48.345,18929,0.033,0.478,"MU",0,0,0,1
"Navarra",2004,0.762,0.238,0.0445,0.0189,5.5725,13.6425,25.7725,11.52,25034,0.033,0.259,"NV",1,0,0,0
"Navarra",2008,0.7206,0.2794,0.0069,0.0147,6.83,18.975,43.81,13.285,30128,0.023,0.306,"NV",0,1,0,0
"Navarra",2011,0.7135,0.2865,0.016,0.0203,12.9875,29.5525,53.51,25.225,28533,-0.008,0.351,"NV",0,0,1,0
"Navarra",2015,0.7428,0.2572,0.0088,0.0105,13.8275,38.3125,54.2,35.4225,28682,0.035,0.396,"NV",0,0,0,1
"Pais_Vasco",2004,0.75,0.25,0.0769,0.0124,9.8175,24.8275,38.7675,22.865,24732,0.027,0.233,"PV",1,0,0,0
"Pais_Vasco",2008,0.6403,0.3597,0.0098,0.0183,6.6225,19.475,38.51,16.125,31243,0.033,0.249,"PV",0,1,0,0
"Pais_Vasco",2011,0.692,0.308,0.0104,0.0114,12.3475,34.005,51.6175,31.87,29842,-0.009,0.253,"PV",0,0,1,0
"Pais_Vasco",2015,0.7145,0.2855,0.0068,0.0071,14.765,40.385,54.1475,38.67,30459,0.04,0.279,"PV",0,0,0,1
